49383,,15525,
49534,,,40000
49680,,15678,
49824,,,40000
49975,,16200,
50124,,,40000
50216,,16335,
50363,,,40000
50512,,16740,
50657,,,40000
50809,,17145,
50892,,,40000
51097,,17018,
51181,,,40000
51386,,17550,
51412,,,40000
51618,,17820,
51704,,,40000
51909,,17688,
51999,,,40000
52203,,17820,
52231,,,40000
52434,,17554,
52517,,,40000
52722,,17820,
52750,1079296,,
52806,,,40000
53026,,1079296,
53091,,,40000
53299,,17820,
53385,,,40000
53584,,17955,
53666,,,40000
53815,,17688,
53958,,,40000
54098,,18090,
54242,,,40000
54389,,18090,
54530,,,40000
54672,,17955,
54816,,,40000
54904,,17955,
55112,,,40000
55204,,18090,
55405,,,40000
55439,,17822,
55701,,,40000
55730,,18225,
55967,,18090,
55993,,,40000
56227,,,40000
56257,,18225,
56520,,,40000
56549,,18225,
56807,,,40000
56839,,18360,
57090,,,40000
57120,,18090,
57378,,,40000
57407,,18360,
57664,,,40000
57694,,18225,
57898,,,40000
57981,,18360,
58179,,,40000
58262,,18090,
58455,,,40000
58541,,18360,
58634,1079296,,
58736,,,40000
58838,,1079296,
59015,,,40000
59100,,18225,
59296,,,40000
59383,,18360,
59580,,,40000
59664,,18225,
59861,,,40000
59945,,18225,
60144,,,40000
60230,,18360,
60428,,,40000
60514,,18225,
60711,,,40000
60797,,18225,
60995,,,40000
61081,,18090,
61278,,,40000
61361,,18090,
61559,,,40000
61643,,17956,
61840,,,40000
61869,,17820,
62068,,,40000
62151,,17689,
62348,,,40000
62434,,17689,
62574,,,40000
62715,,17292,
62858,,,40000
62999,,17030,
63083,,,40000
63277,,16770,
63362,,,40000
63559,,16256,
63644,,,40000
63787,,15625,
63874,,,40000
64070,,15252,
64157,,,40000
64357,,14762,
64385,,,40000
64497,1079296,,
64606,,1079296,
64670,,,40000
64865,,14520,
64950,,,40000
65149,,14400,
65234,,,40000
65427,,14396,
65514,,,40000
65711,,13664,
65738,,,40000
65992,,13375,
66020,,,40000
66245,,,40000
66273,,13029,
66530,,,40000
66557,,12707,
66820,,,40000
66847,,12730,
67084,,12596,
67112,,,40000
67379,,13668,
67412,,,40000
67677,,14896,
67701,,,40000
67968,,15840,
68000,,,40000
68236,,,40000
68266,,16625,
68500,,17024,
68527,,,40000
68796,,17160,
68828,,,40000
69069,,,40000
69100,,17292,
69339,,17030,
69366,,,40000
69637,,16758,
69670,,,40000
69935,,16492,
69966,,,40000
70229,,16492,
70260,,,40000
70480,1079296,,
70500,,,40000
70550,,1079296,
70796,,,40000
70843,,1079296,
71035,,,40000
71122,,16625,
71327,,,40000
71414,,16750,
71627,,,40000
71718,,13640,
71930,,,40000
72018,,13653,
72227,,,40000
72319,,13542,
72520,,,40000
72605,,12099,
72755,,,40000
72903,,12204,
73050,,,40000
73198,,12285,
73347,,,40000
73495,,12480,
73642,,,40000
73731,,12480,
73876,,,40000
74020,,12720,
74167,,,40000
74314,,12626,
74459,,,40000
74606,,12650,
74747,,,40000
74896,,12432,
74987,,,40000
75188,,12312,
75278,,,40000
75486,,12064,
75574,,,40000
75726,,11817,
75816,,,40000
76021,,11640,
76109,,,40000
76322,,11374,
76350,,,40000
76445,1079296,,
76638,,1079296,
76653,,,40000
76923,,10614,
76951,,,40000
77218,,10455,
77250,,,40000
77493,,,40000
77522,,10209,
77759,,10004,
77788,,,40000
78055,,10332,
78085,,,40000
